,Unnamed: 0,responses,label
17,17,Team controls and effectively apply limb restraints.,5
125,125,Debriefing client after restraint,2
183,183,Use physical restraints on aggressive clients,1
90,90,Debriefing can be very helpful when dealing with aggressive clients and implement weekly debriefs to make sure clients were debriefed.,1
165,165,Better team communication to reduce moral conflict,5
5,5,Using level 2 or 3 physical restrain is helpful as well.,0
99,99,Drug therapeutic engagement with the client if the client not responding,1
67,67,Be considerate of patient who has trauma,2
137,137,Become aware of moral conflict and distress.,4
41,41,Hand controls when restraining.,0
81,81,Mind trauma when conducting interventions,2
214,214,Seek opportunities to practice restraints,0
194,194,Focus when applying restraints,0
56,56,Escalate aggressive behavioural patient using restraints.,1
181,181,"Better de-escalation, debriefing and safe patient care",3
121,121,Understand behaviour and debrief with clients after code white,3
30,30,Do more debriefs with clients,0
64,64,Use breathing techniques,4
26,26,Correctly apply restraints triangulation vs crowding,0
170,170,Apply trauma aware strategies in restraints and apply physical restraint when needed,2
28,28,Apply mechanical restraints,0
156,156,Encourage others when applying restraints.,5
51,51,Review multi-person physical restraints,0
153,153,Use self-care strategies to prevent stress,4
110,110,Trauma-informed de-escalation prior to the use of restraints.,2
23,23,Nor use mechanical restraints unless really needed.,0
80,80,Help security in restraining clients,0
12,12,Daily deep breathing and gratitude with co-workers after Restraint application,0
104,104,Practice self-care after trauma events and check in often with people who have been in restraints,4
111,111,Most likely to try de-escalation than any type of restraints,3
155,155,Know difference between chemical restraints and debriefing interventions.Practice more,0
15,15,Use new technique in stretcher restraint to restrict movement,0
95,95,Be mindful of potential assaults during transitions,4
