Gender ,Unit Location ,Time in role,TIDES Day 1,TIDES Day 2,TIDES Day 3,TIDES Orientation ,TIDES Physical Skills Pre-reqs ,Safe & Well Trainings,Safe & Well Trainings_open ,PreKnowledge1 ,PreKnowledge2,PreKnowledge3,PreKnowledge4,PreKnowledge5,PreKnowledge6,PreKnowledge7,PreKnowledge8,PreKnowledge9,PreKnowledge10,PreKnowledge11,PreKnowledge12,PreConfidence1,PreConfidence2,PreConfidence3,PreConfidence4,PreConfidence5,PreConfidence6,PreConfidence7,PreConfidence8,PostKnowledge1 ,PostKnowledge2,PostKnowledge3,PostKnowledge4,PostKnowledge5,PostKnowledge6,PostKnowledge7,PostKnowledge8,PostKnowledge9,PostKnowledge10,PostKnowledge11,PostKnowledge12,PostConfidence1,PostConfidence2,PostConfidence3,PostConfidence4,PostConfidence5,PostConfidence6,PostConfidence7,PostConfidence8,LearningAreas1,LearningAreas2,LearningAreas3,LearningAreas4,LearningAreas5,LearningAreas6,LearningAreas7,ContentAreas1,ContentAreas2,ContentAreas3,ContentAreas4,ContentAreas5,ContentAreas6,Intent2Use_Open,Intentnotuse_Open,Satisfaction,Otherfeedback_open,PreK,PostK,PreC,PostC,PreKScore,PostKScore,PreCScore,PostCScore
Male,1,2,1,1,.,1,1,.,.,4,4,4,4,4,2,2,2,2,4,4,4,4,4,2,2,2,2,4,4,5,5,5,5,5,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Safer way of using restraint and self-care ,.,4,.,3.333333333,4.666666667,3,4,36,52,32,32
.,1,3,1,1,.,.,.,.,.,4,4,4,4,4,3,2,2,2,4,2,2,4,2,2,2,2,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,2,3,3,3,3,.,.,4,Thank you! ,3.083333333,4,2.5,2.25,31,42,26,21
.,1,6,1,1,.,1,1,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,.,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4,4,4,4,4,4,.,.,4,.,4,5,4,4.375,48,55,36,37
Male,1,3,1,1,.,.,.,.,.,4,4,4,4,3,3,3,3,3,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,4,4,4,4,4,4,4,5,4,3,5,5,5,5,4,3,2,3,1,1,.,.,5,.,3.583333333,4.166666667,3.375,3.875,40,49,30,33
Female,1,1,1,1,.,1,1,2,.,4,5,5,5,3,3,2,2,4,5,5,5,4,5,3,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,4,4,4,3,4,4,2,2,2,shoulder strap on head rest of bed,.,4,"Not about the training - but the people that probably should have been paying the most attention, participating in practicing restraints the most were chatting on the sidelines, and that's really frustrating for me as someone who always responds to codes on other units and the unit staff don't know what to do ",4,5,3.375,5,42,60,34,33
Female,1,2,1,1,.,1,.,.,.,4,4,4,5,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,5,4,5,5,4,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,4,5,5,4,5,5,4,4,4,4,4,4,1) Debrief meetings right after restraint event/Code white 2) Self-care - create a plan (long/short term) ,.,5,I wish that we can keep the wellness example handout in hard copy :) ,4.083333333,4.666666667,3.5,4.75,45,57,33,38
Male,1,2,1,1,.,.,.,.,.,4,4,4,4,4,3,3,3,3,4,5,1,3,5,3,3,3,3,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,5,4,3,4,3,2,3,2,4,4,Retraining events at work; setting up restraint work to improve flow at work ,.,.,.,3.5,4,3.125,4,40,48,27,32
Male,1,2,1,1,.,2,1,2,.,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,5,5,5,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,3,5,5,5,5,4,4,4,3,4,4,4,.,.,5,.,3.833333333,4.583333333,3.75,4.875,46,56,33,38
Female,1,2,1,1,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1. Practice for self-care and use in my practice 2. Incorporate trauma-informed care/strategies into de-escalation and the use of restraints; chemical/mechanical,.,5,.,4.166666667,5,4,5,50,60,36,39
Female,1,3,1,1,.,2,2,2,.,4,5,5,5,5,4,4,4,4,4,5,5,4,4,3,3,3,4,4,4,4,5,5,5,5,4,4,4,5,5,5,5,4,4,4,4,4,4,5,5,5,4,4,5,5,4,5,4,3,3,4,4,4,1. Hand controls 2. 5 person control ,.,5,.,4.5,4.666666667,3.625,4.25,49,53,34,36
Female,1,3,1,1,.,2,2,2,.,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,3,3,4,4,2,4,4,4,.,2 person level 1 physical restraints should really be implemented by security not frontline staff. ,4,.,4.666666667,5,5,5,56,60,40,36
Female,1,3,1,1,.,.,.,.,.,4,4,4,5,5,2,2,2,2,4,2,2,2,2,2,2,2,2,4,4,5,5,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,5,.,3.166666667,4.666666667,2.5,4.375,29,53,32,38
Male,1,6,1,1,.,1,1,.,.,4,4,4,4,5,4,4,3,3,4,4,4,4,4,4,.,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,"1. Enable me to implement what was taught today, more effectively 2. Share what was learned with colleagues ",.,.,.,3.916666667,3.833333333,3.25,4.75,43,50,30,38
Non-binary,1,3,1,1,.,.,.,.,.,5,5,5,5,5,4,4,4,4,5,5,5,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,4,4,4,4,5,2,2,3,2,2,2,Wrist control while applying mechanical restraints ,I put slightly above as I've had substantive training over the past several years that I have been working at CAMH,4,.,4.666666667,5,4.125,4.875,53,59,36,36
Female,1,3,1,1,.,.,.,.,.,3,4,5,5,5,5,3,3,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,5,4,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,3,4,4,3,4,4,How to apply shoulder limb properly,.,.,.,4.25,4.416666667,4,4.5,50,53,34,38
Male ,1,1,1,1,.,1,1,.,.,4,4,5,4,4,2,2,2,4,4,2,4,4,2,2,2,2,2,4,4,4,5,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,4,5,4,4,3,4,3,3,"Practice applying restraints to stretcher, be more active in applying restraints in a restraint event ",.,5,Good job this helped increase my comfort level when a restraint event happens ,3.416666667,4.166666667,2.75,4.125,34,49,30,36
Male ,1,3,1,1,.,2,.,.,.,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,2,5,5,5,5,4,5,5,5,5,4,4,4,4,4,4,1. TIDES Day 3 training on especially trauma-awareness restraining decisions. 2. Understood how to apply a two person level to one,.,5,The trainers were well prepared,4.916666667,4.916666667,4.875,4.625,59,59,40,36
Female ,1,1,1,1,.,1,1,.,.,4,4,4,4,4,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,3,4,4,3,3,3,Hand position when applying restraints ,.,4,.,3.5,4,3.125,4.25,39,49,28,34
Female ,1,2,1,1,.,2,2,2,.,4,4,4,4,4,2,4,4,4,4,5,5,4,4,3,4,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3,3,Arm bars used often and good practice ,De-restraining process (2 people on each limb) is unrealistic. Team control unrealistic ,4,Future iterations need to be more advanced for the ED and acute care units ,4,4.916666667,3.625,4,47,56,33,30
Female ,1,3,1,1,.,.,.,.,.,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,Doing client debriefing more often and being aware of it ,.,5,camhstaff and camhstaff were awesome facilitators. I really enjoyed the day. There GIFs were great tool,4.916666667,5,4.75,5,60,60,38,40
Male ,1,3,1,1,.,.,1,.,.,5,5,5,5,5,4,3,4,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,2,1,1,1,May use one but unrealistic in unit ,Expert level. Already use majority of methods ,5,.,4.5,5,4.75,5,54,60,38,40
Male ,1,4,1,1,,.,1,1,Through UHN,5,4,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,1,1,2,2,3,2,2,1,1,.,"The emergency department is a completely different area that truly isnt captivated in this training. This training is a) too long, 3 days not necessary and is reduntant. B) more appropriate for new hires/orientation - not experienced staff.",2,The space provided for training is very uncomfortable. Seating is not condusive to learning for hours.,4.833333333,5,4.875,5,58,60,40,25
Male ,1,2,1,1,,1,1,1,.,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,2,1,2,1,1,1,Incorporate more use of 5- man physical restraints,.,4,Detailed and thorough facilitating ,4.916666667,4.916666667,5,5,60,60,39,38
Female ,1,5,1,1,,1,1,.,.,5,5,5,4,4,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,3,3,3,3,.,"In the ER most of these techniques are used to a degree. However, in the majority of situations it is an emergency to control the event. Good review!",3,Room was not condusive for learning let alone hear- tables were too close together. During team discussions it was so noisy only a few could participate. Room and placement of desks is very important for participation. Having posters on walls is better- makes participantsget up and move.,4.75,4.166666667,4,4,54,48,34,30
Male,1,3,1,1,,.,1,1,PMAB,4,5,5,4,4,4,4,3,4,5,5,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4,I didn't use the 5 person (team) physical restraint before. I'll use this in my practice. ,.,5,Great presenters/training,4.333333333,5,4.5,5,52,60,38,39
Male,1,2,1,1,,1,1,.,.,5,5,5,5,4,4,4,4,4,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,4,3,4,3,1,2,1,1,1,Achnor position in restraints ,.,3,N/A,4.583333333,5,4.25,5,51,60,38,33
Female ,1,1,1,1,,1,2,2,.,2,2,4,4,4,2,2,2,2,4,2,2,4,3,4,4,4,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,Debriefing clients post-restraint regularly. ,.,5,.,2.666666667,5,3.625,5,35,60,34,40
Male ,1,4,1,1,,1,1,2,.,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,Teaching new staff (providing support). Every code situation ,.,4,.,2,4,3,4,28,48,28,32
Male ,1,2,1,2,,1,1,2,.,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,5,Very knowledgable facilitators ,4.916666667,5,5,5,60,60,40,40
Male ,1,3,.,.,,.,.,1,Formerly PMAB,4,5,5,5,4,4,4,4,2,4,5,5,4,4,4,4,2,4,2,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,"Pinel adjustments, debrief regularly. ",.,5,Awesome day! Thanks again. Keep up the valuable work camhstaff.,4.25,4.833333333,3.5,4.875,48,57,32,40
Male ,1,5,1,1,,.,.,.,PMAB,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,2,2,2,All helpful content and info.,.,4,"Thanks, well presented, particularly camhstaff and camhstaff",4,4,4,4,48,48,32,32
Male ,1,1,.,.,,.,.,.,TIDES in June,4,4,4,4,4,3,3,3,4,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1,1,1,1,1,1,.,.,5,.,3.75,4,3.375,4,42,48,30,36
Female ,1,2,1,1,,1,1,1,Staying safe eCAMH,4,5,5,5,5,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,3,3,3,3,3,3,It was an excellent refresher ,.,5,.,4.5,4,4,4,51,48,32,33
Female ,1,2,1,2,,2,1,2,.,4,4,4,4,3,3,3,3,3,3,2,4,2,4,2,"1,2",1,1,4,4,4,5,5,5,4,4,4,4,4,5,5,5,2,4,2,2,2,2,4,5,5,1,3,5,5,3,4,4,2,2,3,3,3,"Help me with restrainte vents, confidence in [illegible] 1-2 person events ",.,4,"Less open time for large group participation. People get off topic, legnthening discussion on [illegible] targets ",3.333333333,4.5,2.25,2.875,32,45,29,27
Female ,1,3,1,1,,.,.,.,.,4,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,.,5,4,4,4,4,4,4,"During the application of restraints, debriefing patients, management of violent patient; use hand control. ",.,5,The teachers were great they are doing good job. ,4.5,5,5,5,55,60,40,39
Male,1,5,1,1,,.,.,.,.,4,4,4,4,.,4,4,2,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,Confident to express my opinion during debriefing sessions and strategies to allocate patients during code whites ,.,5,.,3.333333333,4,3.75,3,40,44,30,32
Male,1,2,1,1,,.,.,.,.,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,5,5,4,5,4,5,5,5,4,5,5,4,4,5,4,4,5,4,4,4,4,4,4,"On highrisk restraint events, on code whites, on other units ",.,.,.,3.833333333,4.583333333,3.875,4.625,47,57,32,37
Female,1,1,1,1,,1,1,2,.,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,.,.,4,.,3.666666667,3.666666667,3.5,3.5,42,42,30,26
.,2,1,1,1,1,.,1,.,.,4,4,4,4,5,3,3,3,3,3,3,4,4,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,4,4,4,4,4,4,3,.,3,4,4,4,4,4,4,I feel more confident with applying restraints and also de-escalation strategies ,.,4,"The teachers were great amd overall content was great. However, the space in which training was, was horrible. Unit 4 , Dinning on 2nd flood. Noisy and high traffic ",3.583333333,5,3.375,3.375,40,53,34,30
.,2,.,.,.,.,.,.,.,.,4,3,4,4,4,3,3,3,2,4,4,4,4,2,3,3,3,3,3,3,5,5,5,5,5,5,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,.,5,4,4,4,4,4,4,.,.,5,"Overall training provided great insight on proper techniques. The instructors were all great and very informative. The space used was an absolute distraction. The constant noise from others, construction workers jamming a fridge through the doors and loud noise was horrible. The second space was small and uncomfortable ",3.5,4.666666667,3,4.875,39,55,32,40
Male,2,1,1,1,.,1,1,.,.,4,4,4,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,4,5,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,5,5,5,5,4,4,3,4,2,4,4,4,4,4,.,.,4,.,4.166666667,4.416666667,4.125,4.25,50,51,35,36
Male,2,"1 at CAMH, 4 as an RPN ",1,1,.,1,2,2,.,4,5,5,5,4,4,4,2,3,4,5,5,4,5,4,4,3,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,.,4,4,4,4,4,4,4,On my unit we deal with patient that often have issues with control. This training will help me and my patients keep safe. ,.,5,Good job!!,4.166666667,4.166666667,4,4,48,49,32,36
Female,2,1,1,1,.,.,.,1,.,4,3,4,4,4,2,2,2,2,3,2,2,2,1,1,1,1,1,2,1,5,4,4,4,5,3,3,3,3,4,3,3,2,2,1,2,2,2,2,3,5,5,5,5,5,4,5,4,4,4,4,4,4,I don't often become involved in the restraint process but have more confidence in helping if needed. ,.,4,It was good but I would need much more practice with restraints to feel confident. ,2.833333333,3.666666667,1.25,2,24,34,22,29
Female,2,1,1,1,.,.,1,.,.,4,4,3,4,3,2,2,2,2,3,3,2,2,1,1,1,1,1,2,1,5,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,5,4,4,5,5,4,4,3,2,3,3,3,3,Being more helpful when a client is moving to mechanical restraints. Being more aware of body position ,.,4,It is challenging to miss a full day at the unit and to learn skills without the unit team. It may be beneficial to have employees trained 1-2 unit at a time for just part of the day. The physical skills are most useful. ,2.833333333,3.916666667,1.25,3.125,24,43,22,30
Male,2,1,1,1,.,1,2,2,.,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,5,5,4,5,4,4,5,4,4,4,3,3,4,Communicate closely with team. Make sure hands are on client at all times with mechanical restraints. ,.,5,Excellent facilitation and exercises! Thanks! ,4.583333333,5,4.125,4.375,52,59,36,35
Female,2,1,1,1,.,1,1,2,.,4,4,4,4,4,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,5,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,.,5,4,4,4,4,4,4,Apply trauma-informed strategies ,.,5,.,3,4.416666667,2,4,28,50,27,36
Female,2,1,.,.,.,1,.,.,.,4,4,4,4,4,3,3,3,3,4,3,3,4,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,.,.,4,.,3.5,4,3.375,4,40,48,29,32
Non-binary,2,1,1,1,.,.,.,.,.,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,5,.,3.916666667,5,4,5,48,60,36,40
